epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,578.09,0.99723,1.8495,1.01445,0.81994,0.6161,0.79665,0.56255,0.89586,2.57155,0.95733,0.000658824,0.000658824,0.000658824
2,1158.47,0.9331,1.09366,0.97424,0.95998,0.91709,0.97182,0.73181,0.84168,1.14596,0.96486,0.00129925,0.00129925,0.00129925
3,1762.88,0.96164,0.9418,0.99783,0.9475,0.85294,0.92377,0.66311,1.05216,1.04576,1.05181,0.00191327,0.00191327,0.00191327
4,2402.32,0.95124,0.79867,0.9912,0.96097,0.94141,0.9892,0.73641,0.90472,0.88538,0.98732,0.0018812,0.0018812,0.0018812
5,2994.07,0.89788,0.71444,0.98441,0.93159,0.94118,0.97251,0.71922,0.87845,0.75815,1.00248,0.0018416,0.0018416,0.0018416
6,3552.85,0.88905,0.66671,0.97713,0.97197,0.93529,0.97373,0.75926,0.83476,0.64131,0.99003,0.001802,0.001802,0.001802
7,4169.06,0.86845,0.62226,0.97488,0.9723,0.92059,0.97301,0.7526,0.82733,0.60072,0.98234,0.0017624,0.0017624,0.0017624
8,4764.99,0.82409,0.58084,0.95313,0.95277,0.95588,0.98207,0.79134,0.76527,0.57921,0.95502,0.0017228,0.0017228,0.0017228
9,5359.87,0.83473,0.5694,0.96677,0.97336,0.9673,0.99273,0.80343,0.74889,0.49505,0.94267,0.0016832,0.0016832,0.0016832
10,5932.25,0.8124,0.55104,0.95127,0.97539,0.95588,0.98994,0.78004,0.76537,0.49882,0.93104,0.0016436,0.0016436,0.0016436
11,6504.42,0.80318,0.54326,0.95021,0.97747,0.95882,0.98933,0.76144,0.8081,0.54844,0.96542,0.001604,0.001604,0.001604
12,6957.24,0.80153,0.53252,0.94217,0.96519,0.98824,0.99394,0.81855,0.71336,0.46784,0.93029,0.0015644,0.0015644,0.0015644
13,7434.22,0.76996,0.5091,0.93215,0.97506,0.95,0.98838,0.78545,0.82464,0.47932,0.94608,0.0015248,0.0015248,0.0015248
14,7892.41,0.79998,0.51683,0.94277,0.97661,0.98529,0.99208,0.78988,0.77776,0.4662,0.95531,0.0014852,0.0014852,0.0014852
15,8333.67,0.76662,0.49855,0.93145,0.96789,0.98824,0.99354,0.81586,0.70827,0.43008,0.91208,0.0014456,0.0014456,0.0014456
16,8790.52,0.75291,0.47395,0.92429,0.96553,0.98235,0.99221,0.81593,0.71234,0.441,0.91313,0.001406,0.001406,0.001406
17,9242.12,0.77375,0.49011,0.92965,0.97608,0.96765,0.99251,0.80553,0.72059,0.44041,0.91765,0.0013664,0.0013664,0.0013664
18,9813.21,0.74648,0.46547,0.91831,0.9797,0.99346,0.99429,0.83329,0.67929,0.3929,0.90389,0.0013268,0.0013268,0.0013268
19,10370.2,0.71422,0.44296,0.91401,0.9786,0.98529,0.99433,0.83579,0.66589,0.38707,0.90829,0.0012872,0.0012872,0.0012872
20,10915.9,0.70876,0.44236,0.91164,0.96058,0.98529,0.99318,0.82951,0.67517,0.40803,0.90654,0.0012476,0.0012476,0.0012476
21,11463.3,0.72519,0.45445,0.91522,0.97571,0.98235,0.9936,0.83984,0.628,0.40858,0.88832,0.001208,0.001208,0.001208
22,12048.3,0.68982,0.43218,0.90765,0.98866,0.98529,0.99453,0.8324,0.64503,0.38031,0.90697,0.0011684,0.0011684,0.0011684
23,12677.1,0.69525,0.43554,0.91184,0.97583,0.97941,0.99245,0.84497,0.65425,0.37257,0.89223,0.0011288,0.0011288,0.0011288
24,13307.5,0.68494,0.41896,0.90865,0.98827,0.99162,0.99458,0.84257,0.64114,0.36597,0.89801,0.0010892,0.0010892,0.0010892
25,13900.4,0.67539,0.41434,0.90146,0.99336,0.99118,0.99491,0.85317,0.63142,0.3616,0.88087,0.0010496,0.0010496,0.0010496
26,14477.7,0.66598,0.40535,0.89157,0.98239,0.98455,0.99436,0.84602,0.62085,0.35775,0.8792,0.00101,0.00101,0.00101
27,15011.1,0.68888,0.41456,0.89703,0.99041,0.98824,0.99443,0.83528,0.63542,0.34238,0.88771,0.0009704,0.0009704,0.0009704
28,15463.4,0.66604,0.39787,0.89814,0.98541,0.99311,0.9947,0.84921,0.62425,0.34978,0.88006,0.0009308,0.0009308,0.0009308
29,15897.5,0.65283,0.39401,0.89431,0.98825,0.99412,0.99485,0.84239,0.67435,0.36119,0.88494,0.0008912,0.0008912,0.0008912
30,16327.2,0.66845,0.39731,0.89229,0.99118,0.99116,0.99455,0.86539,0.60913,0.33321,0.87499,0.0008516,0.0008516,0.0008516
31,16755.2,0.65949,0.39474,0.89696,0.98913,0.99118,0.99488,0.8587,0.62475,0.33999,0.88022,0.000812,0.000812,0.000812
32,17170.3,0.64809,0.38891,0.88976,0.99409,0.98889,0.99488,0.85429,0.64724,0.34169,0.87947,0.0007724,0.0007724,0.0007724
33,17669.8,0.6436,0.3789,0.88883,0.98695,0.99412,0.99473,0.87212,0.59347,0.3174,0.87085,0.0007328,0.0007328,0.0007328
34,18232.6,0.63895,0.37344,0.89035,0.99704,0.99108,0.99494,0.86245,0.61305,0.33441,0.8719,0.0006932,0.0006932,0.0006932
35,18799.8,0.6256,0.36353,0.88405,0.99102,0.99412,0.99488,0.87672,0.58724,0.29922,0.86809,0.0006536,0.0006536,0.0006536
36,19367.2,0.6193,0.35874,0.87407,0.98833,0.99605,0.99494,0.85374,0.62222,0.32254,0.87458,0.000614,0.000614,0.000614
37,19926.4,0.63254,0.36542,0.88412,0.98831,0.99484,0.99494,0.86909,0.60036,0.31416,0.8612,0.0005744,0.0005744,0.0005744
38,20351.5,0.62199,0.36003,0.8766,1,0.99411,0.995,0.87139,0.60123,0.30726,0.86369,0.0005348,0.0005348,0.0005348
39,21007.9,0.60587,0.35812,0.87943,0.99044,0.99412,0.99494,0.87636,0.587,0.30977,0.8595,0.0004952,0.0004952,0.0004952
40,21700.3,0.60333,0.35393,0.87984,0.99706,0.99896,0.99494,0.8762,0.60012,0.30351,0.87083,0.0004556,0.0004556,0.0004556
41,22394.1,0.57886,0.31971,0.85768,0.99233,0.99412,0.99488,0.86707,0.59195,0.31244,0.87449,0.000416,0.000416,0.000416
42,23070.9,0.57517,0.32069,0.85718,0.99537,0.98824,0.99485,0.87688,0.58162,0.29434,0.86793,0.0003764,0.0003764,0.0003764
43,23759.1,0.55541,0.30937,0.8421,0.99516,0.99412,0.99497,0.87239,0.58759,0.30472,0.86274,0.0003368,0.0003368,0.0003368
44,24443.3,0.55997,0.31613,0.84668,0.99302,1,0.99494,0.8719,0.59291,0.30189,0.86439,0.0002972,0.0002972,0.0002972
45,25124.2,0.55208,0.30301,0.84703,0.99705,0.99278,0.99497,0.88098,0.5789,0.30159,0.85921,0.0002576,0.0002576,0.0002576
46,25800.6,0.5378,0.29524,0.83697,0.99367,1,0.995,0.88253,0.57569,0.286,0.85821,0.000218,0.000218,0.000218
47,26478.2,0.5234,0.28636,0.83547,0.99658,1,0.995,0.88092,0.57827,0.27819,0.86129,0.0001784,0.0001784,0.0001784
48,27068.2,0.52307,0.2859,0.8448,0.99123,0.99746,0.99497,0.87721,0.57305,0.27953,0.86384,0.0001388,0.0001388,0.0001388
49,27464.6,0.51463,0.27526,0.83642,0.99678,1,0.99497,0.88255,0.57147,0.27176,0.85946,9.92e-05,9.92e-05,9.92e-05
50,27859.9,0.51905,0.27442,0.83795,0.99673,1,0.99497,0.88351,0.56971,0.26908,0.85675,5.96e-05,5.96e-05,5.96e-05
